Time,Ry,Ay,Vy,Y
0.09,479.221497,-2.752625044,-0.090796709,-0.002399499
0.091,474.970291,-2.815142779,-0.093611851,-0.002493111
0.092,470.633835,-2.878914191,-0.096490766,-0.002589602
0.093,466.20404,-2.944058235,-0.099434824,-0.002689037
0.094,461.679748,-3.010591941,-0.102445416,-0.002791482
0.095,457.067413,-3.078420397,-0.105523836,-0.002897006
0.096,452.379883,-3.147354662,-0.108671191,-0.003005677
0.097,447.633926,-3.217148147,-0.111888339,-0.003117565
0.098,442.847092,-3.287542765,-0.115175882,-0.003232741
0.099,438.035401,-3.358302926,-0.118534185,-0.003351275
0.1,433.212188,-3.429232529,-0.121963417,-0.003473239
0.101,428.388123,-3.500174662,-0.125463592,-0.003598702
0.102,423.572616,-3.570990941,-0.129034583,-0.003727737
0.103,418.774735,-3.641548015,-0.132676131,-0.003860413
0.104,414.003998,-3.711705912,-0.136387837,-0.003996801
0.105,409.270722,-3.781312912,-0.14016915,-0.00413697
0.106,404.584656,-3.850225647,-0.144019375,-0.004280989
0.107,399.95372,-3.918327647,-0.147937703,-0.004428927
0.108,395.382446,-3.985552265,-0.151923255,-0.00458085
0.109,390.870575,-4.051903309,-0.155975159,-0.004736826
0.11,386.412582,-4.117462029,-0.160092621,-0.004896918
0.111,381.998306,-4.182377853,-0.164274998,-0.005061193
0.112,377.614166,-4.2468505,-0.168521849,-0.005229715
0.113,373.245941,-4.311089103,-0.172832938,-0.005402548
0.114,368.881256,-4.375275647,-0.177208214,-0.005579756
0.115,364.51207,-4.439528382,-0.181647742,-0.005761404
0.116,360.136307,-4.503877838,-0.18615162,-0.005947556
0.117,355.758545,-4.568256691,-0.190719877,-0.006138275
0.118,351.389267,-4.632510779,-0.195352387,-0.006333628
0.119,347.043274,-4.696422441,-0.20004881,-0.006533677
0.12,342.737427,-4.759743721,-0.204808554,-0.006738485
0.121,338.488175,-4.822232721,-0.209630786,-0.006948116
0.122,334.309097,-4.88368975,-0.214514476,-0.00716263
0.123,330.209229,-4.943981926,-0.219458458,-0.007382089
0.124,326.191879,-5.003060603,-0.224461519,-0.00760655
0.125,322.254364,-5.060965235,-0.229522484,-0.007836073
0.126,318.388885,-5.117810515,-0.234640294,-0.008070713
0.127,314.583496,-5.173772118,-0.239814066,-0.008310527
0.128,310.823746,-5.229062559,-0.245043129,-0.00855557
0.129,307.094574,-5.283903324,-0.250327032,-0.008805897
0.13,303.381684,-5.338504647,-0.255665537,-0.009061563
0.131,299.673325,-5.393039338,-0.261058576,-0.009322622
0.132,295.961837,-5.447620044,-0.266506196,-0.009589128
0.133,292.244248,-5.502290471,-0.272008487,-0.009861136
0.134,288.522812,-5.557017471,-0.277565504,-0.010138702
0.135,284.803833,-5.611708338,-0.283177213,-0.010421879
0.136,281.095749,-5.666238985,-0.288843452,-0.010710722
0.137,277.406037,-5.720499456,-0.294563951,-0.011005286
0.138,273.738388,-5.774435471,-0.300338387,-0.011305625
0.139,270.091141,-5.828071456,-0.306166458,-0.011611791
0.14,266.456726,-5.881518735,-0.312047977,-0.011923839
0.141,262.823181,-5.934953221,-0.31798293,-0.012241822
0.142,259.17723,-5.988570147,-0.3239715,-0.012565794
0.143,255.507187,-6.042541368,-0.330014041,-0.012895808
0.144,251.805786,-6.096973735,-0.336111015,-0.013231919
0.145,248.072037,-6.151881809,-0.342262897,-0.013574182
0.146,244.310989,-6.207191338,-0.348470088,-0.013922652
0.147,240.532791,-6.262753074,-0.354732841,-0.014277384
0.148,236.750397,-6.318376515,-0.361051218,-0.014638436
0.149,232.976852,-6.373869824,-0.367425088,-0.015005861
0.15,229.223205,-6.429070515,-0.373854158,-0.015379715
0.151,225.497528,-6.483859882,-0.380338018,-0.015760053
0.152,221.80513,-6.538159853,-0.386876178,-0.016146929
0.153,218.150009,-6.591911632,-0.39346809,-0.016540397
0.154,214.536606,-6.645049912,-0.40011314,-0.01694051
0.155,210.970825,-6.697487868,-0.406810627,-0.017347321
0.156,207.459899,-6.749119132,-0.413559747,-0.017760881
0.157,204.011032,-6.799837765,-0.420359584,-0.01818124
0.158,200.629105,-6.849571985,-0.427209156,-0.018608449
0.159,197.314773,-6.898312162,-0.434107468,-0.019042557
0.16,194.064011,-6.946117485,-0.441053586,-0.019483611
0.161,190.868744,-6.993106706,-0.448046693,-0.019931657
0.162,187.719009,-7.039426338,-0.455086119,-0.020386743
0.163,184.606247,-7.08520225,-0.462171321,-0.020848915
0.164,181.525208,-7.130511647,-0.469301833,-0.021318217
0.165,178.475846,-7.175355206,-0.476477188,-0.021794694
0.166,175.463288,-7.219657529,-0.483696846,-0.022278391
0.167,172.496231,-7.263290721,-0.490960136,-0.022769351
0.168,169.584946,-7.306103735,-0.49826624,-0.023267617
0.169,166.738632,-7.347961294,-0.505614201,-0.023773231
0.17,163.963104,-7.388777882,-0.513002979,-0.024286234
0.171,161.259674,-7.428534206,-0.520431513,-0.024806666
0.172,158.625015,-7.467279191,-0.527898793,-0.025334564
0.173,156.052414,-7.505111559,-0.535403904,-0.025869968
0.174,153.533707,-7.542151368,-0.542946056,-0.026412914
0.175,151.061691,-7.578504544,-0.55052456,-0.026963439
0.176,148.632065,-7.614234338,-0.558138794,-0.027521578
0.177,146.244537,-7.649345044,-0.56578814,-0.028087366
0.178,143.902679,-7.683784132,-0.573471924,-0.028660838
0.179,141.612564,-7.717462294,-0.581189386,-0.029242027
0.18,139.380585,-7.750285515,-0.588939671,-0.029830967
0.181,137.211731,-7.782180426,-0.596721852,-0.030427689
0.182,135.108032,-7.813117176,-0.604534969,-0.031032224
0.183,133.06842,-7.843111471,-0.612378081,-0.031644602
0.184,131.089692,-7.872210412,-0.620250291,-0.032264852
0.185,129.167618,-7.900476206,-0.628150767,-0.032893003
0.186,127.29866,-7.927960882,-0.636078728,-0.033529082
